Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
110,"Mangat and Elgarf (1999a), G8_31",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,0.188,290,28.3,33.3,4.83,51,9.23,52.32,1.2,2.9,23.58,2.42,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
111,"Mangat and Elgarf (1999a), G8_32",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,0.188,290,28.3,33.3,4.83,51,9.23,52.32,1.2,2.9,23.58,2.42,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
112,"Mangat and Elgarf (1999a), G8_33",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,0.188,290,28.3,33.3,4.83,51,9.23,52.32,1.2,2.9,23.58,2.42,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
113,"Mangat and Elgarf (1999a), G8_34",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,0.25,290,22.5,24.9,3.61,38.13,9.23,39.12,1.6,2.5,14.06,1.56,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
114,"Mangat and Elgarf (1999a), G8_35",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,0.25,290,22.5,24.9,3.61,38.13,9.23,39.12,1.6,2.5,14.06,1.56,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
115,"Mangat and Elgarf (1999a), G8_36",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,0.25,290,22.5,24.9,3.61,38.13,9.23,39.12,1.6,2.5,14.06,1.56,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
116,"Mangat and Elgarf (1999a), G8_37",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,0.031,290,45.2,60.1,8.71,92.04,9.23,94.42,2.2,8.5,20.55,3.86,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
117,"Mangat and Elgarf (1999a), G8_38",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,0.031,290,45.2,60.1,8.71,92.04,9.23,94.42,2.2,8.5,20.55,3.86,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
118,"Mangat and Elgarf (1999a), G8_39",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,0.031,290,45.2,60.1,8.71,92.04,9.23,94.42,2.2,8.5,20.55,3.86,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
119,"Mangat and Elgarf (1999a), G8_40",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,0.063,290,43.9,54,7.83,82.7,9.23,84.84,2.8,6,15.68,2.14,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
120,"Mangat and Elgarf (1999a), G8_41",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,0.063,290,43.9,54,7.83,82.7,9.23,84.84,2.8,6,15.68,2.14,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
121,"Mangat and Elgarf (1999a), G8_42",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,0.063,290,43.9,54,7.83,82.7,9.23,84.84,2.8,6,15.68,2.14,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
122,"Mangat and Elgarf (1999a), G8_43",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1.5,3.5,50,N/A,3.75,860,0.094,290,41.6,48.6,7.05,74.43,9.23,76.36,2.7,5.5,15.41,2.04,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
123,"Mangat and Elgarf (1999a), G8_44",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1.5,3.5,50,N/A,3.75,860,0.094,290,41.6,48.6,7.05,74.43,9.23,76.36,2.7,5.5,15.41,2.04,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
124,"Mangat and Elgarf (1999a), G8_45",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,1.5,3.5,50,N/A,3.75,860,0.094,290,41.6,48.6,7.05,74.43,9.23,76.36,2.7,5.5,15.41,2.04,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
125,"Mangat and Elgarf (1999a), G8_46",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,2,3.5,50,N/A,5,860,0.125,290,31.1,40.5,5.87,62.02,9.23,63.63,1.7,4.5,18.29,2.65,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
126,"Mangat and Elgarf (1999a), G8_47",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,2,3.5,50,N/A,5,860,0.125,290,31.1,40.5,5.87,62.02,9.23,63.63,1.7,4.5,18.29,2.65,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
127,"Mangat and Elgarf (1999a), G8_48",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,2,3.5,50,N/A,5,860,0.125,290,31.1,40.5,5.87,62.02,9.23,63.63,1.7,4.5,18.29,2.65,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
128,"Mangat and Elgarf (1999a), G8_49",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,3,3.5,50,N/A,7.5,860,0.188,290,24.9,28.2,4.09,43.19,9.23,44.31,1.7,3,14.65,1.76,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
129,"Mangat and Elgarf (1999a), G8_50",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,3,3.5,50,N/A,7.5,860,0.188,290,24.9,28.2,4.09,43.19,9.23,44.31,1.7,3,14.65,1.76,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
130,"Mangat and Elgarf (1999a), G8_51",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,3,3.5,50,N/A,7.5,860,0.188,290,24.9,28.2,4.09,43.19,9.23,44.31,1.7,3,14.65,1.76,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
131,"Mangat and Elgarf (1999a), G8_52",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,4,3.5,50,N/A,10,860,0.25,290,10.3,14.5,2.1,22.21,9.23,22.78,0.66,2.5,15.61,3.79,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
132,"Mangat and Elgarf (1999a), G8_53",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,4,3.5,50,N/A,10,860,0.25,290,10.3,14.5,2.1,22.21,9.23,22.78,0.66,2.5,15.61,3.79,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
133,"Mangat and Elgarf (1999a), G8_54",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,4000,4,3.5,50,N/A,10,860,0.25,290,10.3,14.5,2.1,22.21,9.23,22.78,0.66,2.5,15.61,3.79,Flexural-bending (brittle),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
134,"Mangat and Elgarf (1999a), G9_1",15 day pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,25.5,45.4,6.58,69.53,9.23,71.33,0.71,4.9,35.92,6.9,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
135,"Mangat and Elgarf (1999a), G9_2",15 day pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,25.5,45.4,6.58,69.53,9.23,71.33,0.71,4.9,35.92,6.9,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
136,"Mangat and Elgarf (1999a), G9_3",28 day pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,24.8,47,6.82,71.98,9.23,73.84,0.74,5.2,33.51,7.03,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
137,"Mangat and Elgarf (1999a), G9_4",28 day pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,24.8,47,6.82,71.98,9.23,73.84,0.74,5.2,33.51,7.03,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
138,"Mangat and Elgarf (1999a), G9_5",6 month pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,25.2,45.9,6.66,70.29,9.23,72.11,0.75,4.7,33.6,6.27,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
139,"Mangat and Elgarf (1999a), G9_6",6 month pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,25.2,45.9,6.66,70.29,9.23,72.11,0.75,4.7,33.6,6.27,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
140,"Mangat and Elgarf (1999a), G9_7",1 year pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,23.7,44.8,6.5,68.61,9.23,70.39,0.62,4.7,38.23,7.58,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
141,"Mangat and Elgarf (1999a), G9_8",1 year pre-corrosion period. Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,23.7,44.8,6.5,68.61,9.23,70.39,0.62,4.7,38.23,7.58,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
